0.02623279,0.02731435,0.03064349,0.03676022,0.04825882,0.07684432,0.17255336,0.50802127,1.32532947,2.11420727,2.02798546,1.39192275,0.77665571,0.39715743,0.21870251,0.15149706,0.14400455,0.18333033,0.27466985,0.40460008,0.49654310,0.45742967,0.30139882,0.14807036,0.06468235,0.02881594,0.01363698,0.00700563,0.00422858,0.00347240,0.00415714,0.00673633,0.01377725,0.03471369,0.10376376,0.32960410,0.90586640,1.92999414,3.34048658,4.83807476,5.47230064,3.66873790,1.01546492,0.17670463,0.03623154,0.01234857,0.00680970,0.00495445,0.00425899,0.00416524,0.00454178,0.00538733,0.00668060,0.00822284,0.00959576,0.01039420,0.01056608,0.01047372,0.01063216,0.01141846,0.01293519,0.01499283,0.01716286,0.01899539,0.02052289,0.02277226,0.02764582,0.03686713,0.04934503,0.05875868,0.05839666,0.04927142,0.03866020,0.03130254,0.02625307,0.02104614,0.01526210,0.01020360,0.00685566,0.00518804,0.00457775,0.00445763,0.00473975,0.00586794,0.00904571,0.01774006,0.04305353,0.12008161,0.34112130,0.86049600,1.79862456,3.11913657,4.35959548,4.04664823,1.57509739,0.28531358,0.04273505,0.00748526,0.00207658,0.00100086,0.00068620,0.00056093,0.00050284,0.00047578,0.00046638,0.00046839,0.00047792,0.00049332,0.00051844,0.00056847,0.00068004,0.00093325,0.00149549,0.00267370,0.00488336,0.00837869,0.01280773,0.01708053,0.01990626,0.02061919,0.01950315,0.01728994,0.01451466,0.01153842,0.00878126,0.00654863,0.00492621,0.00386461,0.00327918,0.00311026,0.00335948,0.00411414,0.00555228,0.00790344,0.01132547,0.01567248,0.02025920,0.02403138,0.02648448,0.02796253,0.02860633,0.02799166,0.02576761,0.02213003,0.01772384,0.01329814,0.00944153,0.00645854,0.00437328,0.00302864,0.00220961,0.00172982,0.00146470,0.00134693,0.00134779,0.00146010,0.00168668,0.00203175,0.00249232,0.00304644,0.00363639,0.00416265,0.00452241,0.00467715,0.00467886,0.00463276,0.00464341,0.00478236,0.00507346,0.00547684,0.00586897,0.00605461,0.00586423,0.00529168,0.00449900,0.00367314,0.00294018,0.00237484,0.00201451,0.00189941,0.00216878,0.00327529,0.00664406,0.01709683,0.05223240,0.17554044,0.55603675,1.31916239,2.03865994,1.66702041,0.63036955,0.15239157,0.03742817,0.01412323,0.00860893,0.00670046,0.00581792,0.00538191,0.00518153,0.00510335,0.00508421,
0.02707031,0.02819490,0.03168207,0.03826810,0.05161213,0.08873862,0.22165737,0.66928148,1.57488386,2.17636989,1.89276825,1.21570378,0.64267672,0.31703983,0.17219872,0.11914771,0.11332976,0.14398530,0.21530893,0.31828203,0.39422055,0.36791348,0.24802291,0.12694951,0.05820954,0.02704496,0.01321383,0.00694542,0.00425365,0.00350334,0.00414878,0.00659839,0.01324886,0.03294224,0.09793579,0.31301892,0.87561689,1.89449054,3.30531396,4.79546511,5.39058727,3.54080272,0.96467448,0.16947833,0.03566636,0.01248324,0.00698870,0.00513480,0.00445722,0.00440690,0.00486262,0.00583434,0.00730084,0.00903511,0.01056220,0.01142449,0.01155774,0.01135144,0.01135992,0.01199232,0.01337138,0.01531707,0.01740022,0.01915178,0.02054814,0.02250887,0.02676800,0.03485283,0.04580694,0.05423767,0.05435029,0.04682360,0.03782364,0.03147843,0.02687265,0.02174592,0.01590817,0.01081319,0.00749616,0.00588798,0.00525405,0.00496319,0.00500818,0.00593188,0.00894350,0.01743487,0.04237641,0.11888669,0.34077597,0.86590428,1.81405768,3.13918112,4.35420483,3.95888115,1.49552443,0.26848791,0.04051423,0.00724406,0.00206521,0.00100924,0.00069287,0.00056546,0.00050622,0.00047853,0.00046862,0.00047011,0.00047918,0.00049443,0.00052015,0.00057229,0.00068901,0.00095426,0.00154521,0.00279142,0.00515325,0.00895545,0.01391964,0.01898009,0.02280829,0.02470635,0.02486078,0.02350002,0.02038454,0.01590041,0.01141804,0.00790863,0.00554498,0.00412044,0.00338235,0.00316723,0.00344165,0.00432528,0.00611693,0.00928933,0.01434435,0.02133888,0.02899363,0.03438274,0.03578084,0.03489587,0.03360325,0.03189026,0.02909107,0.02503628,0.02013897,0.01509849,0.01061865,0.00713881,0.00473007,0.00320496,0.00229444,0.00176968,0.00148227,0.00135359,0.00134977,0.00146145,0.00169137,0.00204556,0.00252396,0.00310676,0.00373504,0.00430416,0.00470508,0.00489534,0.00492657,0.00490626,0.00494231,0.00510878,0.00542934,0.00585940,0.00626460,0.00643404,0.00618572,0.00551869,0.00462177,0.00371126,0.00292508,0.00233326,0.00196413,0.00185036,0.00212379,0.00322439,0.00654334,0.01678563,0.05111032,0.17158970,0.54621459,1.31403643,2.09314964,1.83586121,0.74925846,0.18843116,0.04659738,0.01692498,0.00974184,0.00727733,0.00617011,0.00563249,0.00538332,0.00528240,0.00525652,
0.02957849,0.03083412,0.03481394,0.04293800,0.06262211,0.12956585,0.38671740,1.12984101,2.05416223,2.13457300,1.50683593,0.81515979,0.37457000,0.17158711,0.09194189,0.06429098,0.06141413,0.07692925,0.11228446,0.16372263,0.20508040,0.19911637,0.14519015,0.08401432,0.04404800,0.02296079,0.01226233,0.00689193,0.00443214,0.00372781,0.00431667,0.00650577,0.01234468,0.02948104,0.08615693,0.27865681,0.81167349,1.82111313,3.23360280,4.69320598,5.15463476,3.17709304,0.82944009,0.15053579,0.03429603,0.01296347,0.00757904,0.00573107,0.00511959,0.00522497,0.00596107,0.00737362,0.00943352,0.01180744,0.01382682,0.01486998,0.01484582,0.01423179,0.01370125,0.01377241,0.01464812,0.01618847,0.01796742,0.01947101,0.02053877,0.02182409,0.02467106,0.03021027,0.03782167,0.04409316,0.04523703,0.04132834,0.03613783,0.03229065,0.02877900,0.02383311,0.01790364,0.01287166,0.00992259,0.00880616,0.00824057,0.00726876,0.00632940,0.00648180,0.00900952,0.01714621,0.04176969,0.11883772,0.34739784,0.89434040,1.87422100,3.20930371,4.33563826,3.68936950,1.27723084,0.22419244,0.03469953,0.00662462,0.00204662,0.00103860,0.00071477,0.00057995,0.00051672,0.00048684,0.00047533,0.00047537,0.00048330,0.00049847,0.00052647,0.00058554,0.00071877,0.00102284,0.00170819,0.00318473,0.00608216,0.01101640,0.01808174,0.02655029,0.03543674,0.04455103,0.05359434,0.05849772,0.05291426,0.03837350,0.02379505,0.01379485,0.00807742,0.00514345,0.00380493,0.00341222,0.00377463,0.00513076,0.00827471,0.01481680,0.02731708,0.04822044,0.07477031,0.09172888,0.08627567,0.06898942,0.05487869,0.04674385,0.04137080,0.03603909,0.02954167,0.02211654,0.01509617,0.00962542,0.00597180,0.00378651,0.00256087,0.00189111,0.00153604,0.00137586,0.00135940,0.00147083,0.00171308,0.00209761,0.00263272,0.00330415,0.00404866,0.00474662,0.00527168,0.00557104,0.00569593,0.00576092,0.00588376,0.00614581,0.00656983,0.00709615,0.00755621,0.00768869,0.00726925,0.00630864,0.00507913,0.00389421,0.00293342,0.00225293,0.00185087,0.00173472,0.00201387,0.00309298,0.00627005,0.01592542,0.04796377,0.16012623,0.51457874,1.27857094,2.18084306,2.25097645,1.14406213,0.33315823,0.08734721,0.02962750,0.01455265,0.00948804,0.00739970,0.00644988,0.00601293,0.00582699,0.00577624,
0.03370953,0.03518588,0.04002531,0.05103021,0.08333069,0.21018828,0.69073644,1.74442671,2.35813194,1.88582185,1.06153591,0.46094950,0.18165213,0.07897995,0.04278837,0.03076948,0.02970805,0.03638823,0.05065737,0.07062158,0.08762026,0.08922789,0.07287722,0.04975668,0.03107104,0.01887691,0.01142789,0.00715609,0.00511718,0.00468258,0.00543882,0.00756751,0.01293254,0.02851224,0.08007844,0.25833237,0.77402170,1.78579556,3.19955990,4.57995916,4.77291676,2.63247950,0.65044090,0.12619625,0.03291080,0.01400832,0.00875070,0.00692448,0.00646998,0.00692738,0.00828339,0.01064584,0.01394136,0.01759390,0.02056009,0.02195251,0.02165046,0.02021178,0.01844590,0.01714253,0.01678480,0.01736867,0.01847759,0.01953144,0.02020466,0.02083323,0.02233370,0.02550293,0.03010417,0.03447215,0.03665369,0.03639748,0.03531691,0.03428706,0.03193480,0.02715672,0.02137411,0.01716555,0.01608415,0.01737855,0.01775113,0.01483378,0.01087270,0.00889406,0.01047855,0.01869077,0.04507803,0.12933626,0.38164737,0.97835947,2.01408361,3.34975566,4.28476368,3.22412385,0.97509657,0.16714292,0.02729998,0.00588230,0.00206392,0.00110333,0.00075942,0.00060863,0.00053664,0.00050196,0.00048736,0.00048511,0.00049179,0.00050785,0.00054102,0.00061355,0.00077797,0.00115654,0.00203075,0.00399700,0.00812335,0.01591671,0.02905079,0.04947642,0.08086343,0.12901596,0.19014602,0.22944990,0.20389519,0.13038539,0.06675133,0.03134918,0.01483455,0.00771001,0.00486234,0.00403987,0.00457564,0.00696976,0.01333353,0.02897609,0.06556133,0.14269062,0.26431868,0.35271681,0.31872372,0.21204684,0.12794131,0.08855078,0.07420430,0.06728595,0.05750212,0.04254008,0.02724411,0.01579713,0.00876690,0.00496427,0.00304701,0.00209624,0.00162530,0.00141633,0.00138252,0.00149694,0.00176351,0.00220278,0.00283554,0.00365445,0.00458796,0.00549392,0.00622234,0.00670779,0.00700248,0.00723216,0.00752973,0.00798747,0.00862541,0.00935702,0.00995399,0.01006533,0.00938370,0.00792245,0.00609090,0.00438782,0.00308734,0.00222906,0.00175378,0.00161878,0.00189377,0.00293126,0.00589791,0.01470733,0.04338852,0.14258096,0.45924667,1.17851995,2.15577022,2.63543583,1.82661378,0.72048139,0.22615801,0.07604836,0.03073939,0.01572616,0.01026922,0.00809376,0.00716286,0.00676996,0.00666075,
0.03926901,0.04104399,0.04707888,0.06231831,0.11401593,0.33214961,1.09743597,2.29441799,2.44262152,1.61089130,0.74745479,0.26975794,0.09566368,0.04034046,0.02203184,0.01608388,0.01552927,0.01851500,0.02451050,0.03245973,0.03948893,0.04178901,0.03790851,0.03022761,0.02234638,0.01588757,0.01112621,0.00819407,0.00724020,0.00808151,0.01005715,0.01301987,0.01920913,0.03660329,0.09324852,0.28466450,0.82594613,1.86714359,3.26759118,4.47122403,4.21971575,1.98666586,0.47025236,0.10275962,0.03240459,0.01596304,0.01081784,0.00906432,0.00894206,0.01010253,0.01266111,0.01681051,0.02236360,0.02835080,0.03327441,0.03604429,0.03630482,0.03386146,0.02917095,0.02413214,0.02054648,0.01886235,0.01855914,0.01881992,0.01907012,0.01932014,0.02009457,0.02194185,0.02490607,0.02838092,0.03154991,0.03410142,0.03622501,0.03728264,0.03560963,0.03107222,0.02633095,0.02521031,0.03066758,0.04129764,0.04685629,0.03849727,0.02519424,0.01705088,0.01639691,0.02588230,0.05948461,0.16675759,0.47686939,1.16427136,2.27429526,3.56519349,4.13604087,2.56523412,0.66020245,0.11258883,0.02039431,0.00530979,0.00218469,0.00123472,0.00084586,0.00066353,0.00057365,0.00052909,0.00050869,0.00050304,0.00050874,0.00052765,0.00057046,0.00066570,0.00088196,0.00138853,0.00261005,0.00556541,0.01248417,0.02788094,0.06101782,0.13166155,0.27608105,0.52906663,0.83675420,0.99524831,0.83648828,0.47636383,0.20169251,0.07687493,0.02985766,0.01287810,0.00690916,0.00523952,0.00601392,0.01015849,0.02256808,0.05820620,0.15986333,0.42559788,0.91572634,1.31460595,1.24692524,0.81082016,0.40790434,0.22363975,0.17739335,0.17456884,0.15652517,0.10987589,0.06220586,0.03112569,0.01479803,0.00716657,0.00382643,0.00238149,0.00174021,0.00147085,0.00141954,0.00154209,0.00184435,0.00235875,0.00312075,0.00412934,0.00530195,0.00647264,0.00746909,0.00821446,0.00876262,0.00925215,0.00983331,0.01060992,0.01159487,0.01266166,0.01349829,0.01363201,0.01264018,0.01051845,0.00783310,0.00534509,0.00350168,0.00234714,0.00174127,0.00156061,0.00181504,0.00279340,0.00551415,0.01335144,0.03806822,0.12099750,0.38285696,0.99903406,1.92529322,2.67591000,2.49979248,1.51091333,0.66713249,0.25271503,0.09106763,0.03541733,0.01735016,0.01129505,0.00906281,0.00819579,0.00796162,
0.04575520,0.04786290,0.05522240,0.07517117,0.14872444,0.46742926,1.49098985,2.68215692,2.47399658,1.46863296,0.61705876,0.20623305,0.07092571,0.02976912,0.01603431,0.01113037,0.01000769,0.01116197,0.01388929,0.01743707,0.02068421,0.02240216,0.02198741,0.01983537,0.01692720,0.01397431,0.01159973,0.01087576,0.01319130,0.01903976,0.02659921,0.03410371,0.04522819,0.07239783,0.15475312,0.40635089,1.03273127,2.12279124,3.45017217,4.29704561,3.43640074,1.33851344,0.31873272,0.08435983,0.03353055,0.01928136,0.01426280,0.01270672,0.01321801,0.01564041,0.02029632,0.02751413,0.03705182,0.04788381,0.05909912,0.07047950,0.07923314,0.07765029,0.06277094,0.04384401,0.02978394,0.02196562,0.01847469,0.01721972,0.01685915,0.01691905,0.01753809,0.01903545,0.02157069,0.02504975,0.02920039,0.03363595,0.03761011,0.03955387,0.03808882,0.03432431,0.03240721,0.03898654,0.06266693,0.10492983,0.13460828,0.11288255,0.07051447,0.04339677,0.03610420,0.04942264,0.10293974,0.26591049,0.68761506,1.50640724,2.67885403,3.80378788,3.75303843,1.78163643,0.39472765,0.07032119,0.01536452,0.00517220,0.00251532,0.00149913,0.00101842,0.00077405,0.00064750,0.00058214,0.00055008,0.00053848,0.00054324,0.00056766,0.00062635,0.00075717,0.00105513,0.00177542,0.00363905,0.00868287,0.02260015,0.06187856,0.17520719,0.47811924,1.10715633,1.98314968,2.67559515,2.79514280,2.27243707,1.29814850,0.50236430,0.16446594,0.05488657,0.02066209,0.00986458,0.00693633,0.00787345,0.01398404,0.03396342,0.09815874,0.30698390,0.91065827,2.00154272,2.86492541,3.02814482,2.38894715,1.33660114,0.69787508,0.56332715,0.60388666,0.55098835,0.35438147,0.16860347,0.06941622,0.02744538,0.01110847,0.00500135,0.00273404,0.00186021,0.00152722,0.00146494,0.00160383,0.00195263,0.00255763,0.00346997,0.00469554,0.00614419,0.00763215,0.00896519,0.01004694,0.01092764,0.01176278,0.01272642,0.01393602,0.01539208,0.01690918,0.01805174,0.01818255,0.01677370,0.01386116,0.01018279,0.00674884,0.00420867,0.00264931,0.00185259,0.00159587,0.00181309,0.00272215,0.00518716,0.01200463,0.03242794,0.09703050,0.29174687,0.75250747,1.49396199,2.26203914,2.62455425,2.35203554,1.61918834,0.82678101,0.31661723,0.10424011,0.03738286,0.01812728,0.01224520,0.01027442,0.00977913,
0.05219299,0.05458505,0.06298368,0.08617192,0.17386732,0.55693110,1.73585396,2.93473081,2.59895606,1.54125628,0.67657184,0.24498064,0.09109913,0.04014872,0.02123291,0.01287208,0.00928640,0.00856101,0.00946503,0.01105357,0.01263662,0.01375248,0.01420155,0.01404241,0.01351245,0.01291238,0.01310486,0.01650730,0.02753645,0.05023675,0.08153921,0.11287504,0.14772811,0.20665233,0.35445796,0.72436206,1.46689637,2.56418542,3.65759555,3.86939691,2.42232799,0.79454536,0.20980442,0.07271465,0.03679435,0.02446349,0.01969100,0.01856162,0.02013220,0.02455129,0.03249112,0.04473311,0.06207756,0.08702406,0.12737698,0.19062635,0.25475411,0.26246041,0.19506409,0.11127243,0.05723009,0.03089888,0.01971009,0.01541456,0.01396041,0.01374117,0.01437129,0.01592630,0.01855870,0.02235316,0.02719295,0.03251028,0.03702111,0.03899412,0.03780949,0.03566424,0.03845734,0.05885012,0.12321126,0.25864761,0.39063320,0.35533646,0.22534562,0.13465706,0.10379165,0.12571959,0.22812327,0.50467272,1.09413716,2.04743900,3.19172197,3.89678049,2.97994857,1.03660398,0.21107021,0.04331649,0.01281035,0.00575716,0.00326253,0.00204933,0.00138431,0.00101238,0.00080636,0.00069435,0.00063620,0.00061166,0.00061363,0.00064608,0.00072827,0.00091147,0.00133390,0.00241271,0.00552102,0.01541155,0.04964288,0.17683189,0.62310243,1.71018949,3.13844509,4.07315147,4.19529073,3.76324020,2.99791865,1.84842187,0.74025216,0.23723022,0.07605390,0.02742367,0.01263333,0.00860873,0.00940363,0.01617149,0.03886346,0.11226606,0.34979061,1.03394771,2.23287002,3.20954763,3.80479817,3.83759803,2.95714053,1.95467966,1.76841224,1.92365605,1.73540518,1.08195718,0.45222474,0.15360753,0.05048921,0.01724461,0.00656651,0.00311563,0.00196034,0.00157221,0.00151329,0.00168258,0.00209445,0.00281378,0.00391507,0.00542663,0.00727309,0.00925956,0.01112867,0.01268993,0.01396200,0.01516690,0.01656882,0.01834572,0.02051520,0.02281033,0.02449700,0.02446808,0.02205775,0.01775953,0.01279223,0.00834667,0.00509858,0.00311109,0.00209571,0.00174181,0.00190916,0.00274339,0.00494786,0.01070696,0.02664106,0.07232393,0.19752125,0.48269358,0.96224018,1.54614319,2.07817354,2.43306365,2.44492079,1.89692397,0.97729847,0.33396071,0.09782970,0.03432934,0.01791269,0.01330159,0.01225913,
0.05709660,0.05963009,0.06835122,0.09144919,0.17597688,0.54588146,1.72965817,3.06241716,2.87799272,1.88207696,0.98812212,0.45288107,0.19944365,0.09250977,0.04694236,0.02436216,0.01321412,0.00881987,0.00781503,0.00811477,0.00875244,0.00939364,0.00998509,0.01058717,0.01132105,0.01249470,0.01554606,0.02542326,0.05441510,0.12369749,0.24646179,0.39819706,0.53987214,0.66832786,0.89877987,1.37304332,2.15301243,3.08330171,3.62548022,2.96437281,1.38329563,0.42669849,0.14297458,0.06754185,0.04234420,0.03187246,0.02761124,0.02721096,0.03028018,0.03743213,0.05008146,0.07096117,0.10784567,0.18678703,0.36820822,0.68473399,0.97995578,0.99411181,0.68745619,0.33159454,0.13328526,0.05350298,0.02460477,0.01454526,0.01124346,0.01047620,0.01097255,0.01250104,0.01514211,0.01899993,0.02394054,0.02925381,0.03354228,0.03539407,0.03483747,0.03459127,0.04207353,0.07832037,0.20528196,0.53972076,0.98807534,1.04379056,0.73000409,0.45222622,0.33978928,0.37173004,0.56797013,1.01052632,1.76388717,2.75639718,3.62823525,3.51897923,1.87493443,0.50073894,0.10723513,0.02979223,0.01300338,0.00759746,0.00492058,0.00328044,0.00223080,0.00157333,0.00117734,0.00094888,0.00082426,0.00076553,0.00075557,0.00079526,0.00090773,0.00116236,0.00176944,0.00346783,0.00917755,0.03159272,0.13096203,0.57442335,1.95713153,3.87031810,4.89602242,4.79995231,4.06796442,3.20001574,2.36924046,1.42599554,0.56878963,0.19537122,0.06930051,0.02741051,0.01367739,0.00965505,0.00998210,0.01515085,0.03184051,0.08088664,0.22456178,0.64226187,1.51478594,2.42883151,3.30545624,4.03520960,4.07544813,3.56352995,3.48912833,3.51567053,3.09834483,2.05278502,0.86849512,0.26937600,0.07833841,0.02378275,0.00803651,0.00341217,0.00201665,0.00160153,0.00156569,0.00178439,0.00228685,0.00317364,0.00458178,0.00663851,0.00937851,0.01261064,0.01580298,0.01826445,0.01982174,0.02108484,0.02281697,0.02554494,0.02957279,0.03464724,0.03887237,0.03868153,0.03275853,0.02413926,0.01609194,0.01000671,0.00599066,0.00363818,0.00244141,0.00199722,0.00211045,0.00286272,0.00478984,0.00944702,0.02095337,0.04952580,0.11683477,0.25553810,0.49068479,0.82385274,1.25851182,1.80438672,2.37083905,2.61986751,2.04793333,0.92172332,0.26509439,0.07335989,0.02848851,0.01772539,0.01556096,
0.05876796,0.06124315,0.06943284,0.08910500,0.15406389,0.43298831,1.42747226,2.94799452,3.24042076,2.49920425,1.65822721,1.02846119,0.56976176,0.27024991,0.12347147,0.05403611,0.02315431,0.01139017,0.00767184,0.00676306,0.00671565,0.00699265,0.00754198,0.00846435,0.00993760,0.01241462,0.01790354,0.03415849,0.08595451,0.23915351,0.59932575,1.13248794,1.52792806,1.68810426,1.89625656,2.32226698,2.90931971,3.31478559,2.94400642,1.70060722,0.64185345,0.22866852,0.10766599,0.06721837,0.04983410,0.04140436,0.03798832,0.03854081,0.04331466,0.05365931,0.07286144,0.11094547,0.20640850,0.48988248,1.17895400,2.10385434,2.63151456,2.48699434,1.73651159,0.80860170,0.28309366,0.09348507,0.03373763,0.01511555,0.00936117,0.00783707,0.00801931,0.00930893,0.01169053,0.01525198,0.01984940,0.02477794,0.02876776,0.03070834,0.03082700,0.03168769,0.04068111,0.08225727,0.24515831,0.76376505,1.65171240,2.03009445,1.67913591,1.21593455,0.97888016,1.00668031,1.29556755,1.85540970,2.63416197,3.39322457,3.54691361,2.42281472,0.87635363,0.21541815,0.06045266,0.02661682,0.01678717,0.01211323,0.00888420,0.00636503,0.00443605,0.00305466,0.00213974,0.00157835,0.00125891,0.00109598,0.00103891,0.00107077,0.00121155,0.00155271,0.00242930,0.00525002,0.01674192,0.07256299,0.36543911,1.59852292,3.89457656,5.27005251,5.26067968,4.42269659,3.29914130,2.27390086,1.45486936,0.75963624,0.28960868,0.10945158,0.04591839,0.02206887,0.01320558,0.01023316,0.01006160,0.01276134,0.02144229,0.04487860,0.10817438,0.29405835,0.78231113,1.54944007,2.53216248,3.61388032,4.28334982,4.27982797,4.06741720,3.67677620,3.07297181,2.05920083,0.89738308,0.28721779,0.08446160,0.02533256,0.00832357,0.00342904,0.00200998,0.00162318,0.00163049,0.00191698,0.00254958,0.00371718,0.00575698,0.00918220,0.01455799,0.02195207,0.02986135,0.03493674,0.03557579,0.03456191,0.03543700,0.04045230,0.05177636,0.07043211,0.08877151,0.08884829,0.06708680,0.04143670,0.02309924,0.01248107,0.00691570,0.00413873,0.00282914,0.00233580,0.00240289,0.00306153,0.00468380,0.00823772,0.01582796,0.03147845,0.06160454,0.11432479,0.19975849,0.34054471,0.59651975,1.06679950,1.79415545,2.57935719,2.81339414,1.83695282,0.62193562,0.15574906,0.04735037,0.02400239,0.01975784,
0.05603177,0.05825657,0.06528409,0.08007796,0.12070816,0.28120532,0.91763114,2.36802979,3.37664196,3.21320256,2.62766036,2.05581155,1.42729455,0.72286782,0.29014505,0.10489045,0.03734738,0.01511264,0.00830341,0.00627334,0.00568688,0.00568724,0.00616245,0.00723339,0.00914030,0.01238247,0.01887428,0.03643574,0.09367903,0.28608911,0.83638530,1.78786103,2.52348779,2.78939891,2.93147482,3.10486575,3.13536369,2.65755814,1.62927891,0.70799060,0.28087810,0.13959769,0.09105800,0.06975922,0.05838846,0.05216735,0.04975697,0.05115330,0.05732313,0.07083544,0.09950905,0.17508025,0.43324011,1.25467421,2.67512761,3.57132833,3.57872783,3.10066708,2.23786632,1.10251668,0.38874136,0.12345262,0.04087241,0.01585516,0.00826832,0.00611878,0.00594939,0.00690127,0.00890818,0.01209781,0.01643293,0.02135382,0.02565903,0.02807020,0.02848018,0.02901447,0.03549658,0.06635809,0.19306642,0.65488536,1.71056156,2.59802851,2.62299842,2.27690428,2.03767999,2.06058575,2.34906028,2.83012094,3.30276258,3.34537505,2.47835394,1.11080123,0.33043329,0.10114339,0.04698101,0.03293430,0.02773000,0.02404648,0.02000993,0.01553413,0.01120634,0.00761050,0.00500603,0.00333059,0.00235574,0.00183986,0.00160805,0.00156742,0.00170394,0.00212859,0.00339592,0.00828531,0.03219203,0.16598613,0.87570944,3.01317305,4.96376309,5.31933364,4.74388356,3.73739903,2.60905082,1.61340627,0.87204422,0.38671391,0.14569022,0.06040828,0.03007859,0.01821193,0.01343000,0.01152219,0.01099580,0.01189713,0.01572694,0.02658869,0.05645300,0.14660294,0.41926740,1.02539769,2.00421774,3.19297224,4.04128960,4.08492343,3.54567854,2.80720996,2.05959711,1.20042467,0.49476958,0.17485259,0.05866675,0.01946844,0.00693117,0.00309112,0.00194605,0.00165133,0.00171594,0.00208310,0.00290231,0.00458563,0.00806511,0.01520166,0.02899823,0.05229411,0.08163343,0.09923104,0.09205184,0.07463444,0.06660683,0.07834362,0.12235179,0.20984904,0.29923042,0.29244136,0.18916490,0.09336041,0.04106526,0.01777163,0.00831497,0.00463065,0.00320204,0.00270848,0.00274674,0.00329969,0.00459675,0.00713206,0.01169230,0.01926677,0.03086272,0.04781250,0.07426919,0.12553574,0.25011411,0.57138648,1.25870570,2.25657533,3.05092863,2.64146246,1.12592179,0.28548620,0.07500479,0.03192170,0.02459652,
